,wiek,zawod,stan_cywilny,wyksztalcenie,ma_kredyt,kredyt_mieszkaniowy,ma_pozyczke,sposob_kontaktu,miesiac,dl_polaczenia,liczba_polaczen_aktualnej_kampanii,liczba_dni_od_ost_kontaktu,liczba_polaczen_przed_aktualna_kampania,wynik_poprzedniej_kampanii,wsk_zmien_zatrudnienia,wsk_cen_konsum,wsk_zauf_konsum,euribor3m,liczba_pracownikow,target
0,56,housemaid,married,basic.4y,1,1,1,telephone,may,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
2,37,services,married,high.school,1,0,1,telephone,may,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
3,40,admin.,married,basic.6y,1,1,1,telephone,may,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
4,56,services,married,high.school,1,1,0,telephone,may,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
6,59,admin.,married,professional.course,1,1,1,telephone,may,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
8,24,technician,single,professional.course,1,0,1,telephone,may,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
9,25,services,single,high.school,1,0,1,telephone,may,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
11,25,services,single,high.school,1,0,1,telephone,may,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
12,29,blue-collar,single,high.school,1,1,0,telephone,may,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
13,57,housemaid,divorced,basic.4y,1,0,1,telephone,may,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
14,35,blue-collar,married,basic.6y,1,0,1,telephone,may,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
16,35,blue-collar,married,basic.6y,1,0,1,telephone,may,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
18,50,blue-collar,married,basic.9y,1,0,0,telephone,may,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
20,30,unemployed,married,high.school,1,1,1,telephone,may,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
22,55,retired,single,high.school,1,0,1,telephone,may,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
23,41,technician,single,high.school,1,0,1,telephone,may,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
24,37,admin.,married,high.school,1,0,1,telephone,may,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
25,35,technician,married,university.degree,1,1,0,telephone,may,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
26,59,technician,married,unknown,1,0,1,telephone,may,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
30,46,admin.,married,unknown,1,1,1,telephone,may,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
31,59,technician,married,unknown,1,0,1,telephone,may,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
32,49,blue-collar,married,unknown,1,1,1,telephone,may,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
34,54,blue-collar,divorced,basic.4y,1,1,1,telephone,may,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
36,34,services,married,high.school,1,1,1,telephone,may,365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
37,52,technician,married,basic.9y,1,0,1,telephone,may,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
38,41,admin.,married,university.degree,1,0,1,telephone,may,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
